台灣彩券(良吉商行)	台北市文山區羅斯福路五段262號
台灣彩券(超級大富翁電腦彩券投注站)	高雄市三民區鼎山街196號
台灣彩券(吉興彩券行)	雲林縣土庫鎮馬光路123號
台灣彩券(金甕財彩券行)	新北市中和區華新街86號
台灣彩券(好中獎投注站)	高雄市左營區富國路337號
台灣彩券(喜洋洋彩券行)	彰化縣二林鎮仁愛路323號
台灣彩券(石壁商行)	新北市樹林區文化街21號
運動彩券(紅不讓彩券行)	台南市東區崇德路396號
台灣彩券(聯吉彩券投注站)	宜蘭縣三星鄉三星路四段415號
台灣彩券(富裕公益彩券行)	台中市豐原區成功路8號
台灣彩券(富野彩券行)	台中市西屯區福康路18號
台灣彩券(雙發彩券行)	苗栗縣三義鄉中正路163之3號
台灣彩券(連盈商行)	台北市中山區錦西街19號
台灣彩券(林場投注站)	宜蘭縣羅東鎮興東路303號
台灣彩券(立功企業行)	屏東縣潮州鎮永德路79號
台灣彩券(億來發彩券行)	雲林縣古坑鄉西平路12之3號
運動彩券(娣妹運動彩券行)	屏東縣內埔鄉學人路616號
台灣彩券(進發彩券行)	台南市中西區民權路三段8號
台灣彩券(如億山佳投注店)	新北市樹林區中山路三段85號
台灣彩券(寶貝彩券行)	新北市新店區順安街59號
台灣彩券(興來發彩券行)	新北市鶯歌區建國路250號
台灣彩券(億來發彩券行)	宜蘭縣蘇澳鎮中山路一段191之1號
台灣彩券(省三商行)	嘉義縣朴子市開元路123號
台灣彩券(天天來發投注行)	新北市中和區興南路二段73號
台灣彩券(珠寶彩券行)	新北市板橋區莒光路3號
台灣彩券(幸運星電腦彩券行)	台南市永康區中山南路544巷59弄36號
台灣彩券(宏樂彩券行)	宜蘭縣羅東鎮中山路四段418號
運動彩券(運彩商行)	台北市士林區德行西路89號
運動彩券(飛來中商行)	新北市板橋區新生街55號
運動彩券(博贏運動彩券行)	新北市鶯歌區中正一路105號
台灣彩券(財運旺彩券投注站)	桃園市中壢區龍東路437號
鑫福彩券行	高雄市大寮區中正路3之7號
運動彩券(大滿貫投注站)	桃園市桃園區復興路63號
台灣彩券(凱葒彩券行)	桃園市桃園區龍安街146號
台灣彩券(漢昇投注站)	桃園市八德區介壽路二段399號
台灣彩券(廣仁發彩券行)	彰化縣彰化市民生路283號
台灣彩券(欣旺彩券行)	高雄市前鎮區后安路121號
台灣彩券(祥好中彩券行)	台中市北屯區崇德二路二段176號
台灣彩券(千彩來彩券行)	新竹縣湖口鄉中華路28號
台灣彩券(得彩商行)	台北市南港區中坡北路40巷1號
運動彩券(源記商行)	新竹縣新豐鄉建興路一段110號
運動彩券(顛峰彩券行)	台北市大安區建國南路一段294號
台灣彩券(錦發彩券行)	屏東縣內埔鄉中林路2之1號
台灣彩券(世界美彩券行)	基隆市仁愛區仁二路8號
台灣彩券(財神爺彩券行)	台中市西屯區青海路二段35號
台灣彩券(天鼎彩券行)	南投縣鹿谷鄉鹿彰路318號
台灣彩券(陸星商行)	桃園市龍潭區中興路301號
運動彩券(滿財堂公益彩券行)	台北市信義區中坡南路120號
台灣彩券(財來投注站)	台北市中正區牯嶺街95巷5號
運動彩券(千奇百貨行)	桃園市中壢區中北路二段113號
台灣彩券(伯樂彩券行)	宜蘭縣蘇澳鎮大同路41號
台灣彩券(美律商行)	新北市板橋區三民路二段75號
台灣彩券(來可發商行)	桃園市蘆竹區南崁路二段465之1號
台灣彩券(昇財彩券行)	南投縣草屯鎮太平路一段395號
台灣彩券(萬得發投注站)	台北市中正區汀州路一段200號
台灣彩券(大聖彩券行)	台中市烏日區中山路二段146號
台灣彩券(大內商行)	桃園市楊梅市新成路114號
台灣彩券(彥輝商行)	台北市大同區華陰街103號
運動彩券(王牌運動彩券行)	新北市永和區安樂路461號
運動彩券(吉祥彩券商行)	彰化縣彰化市南郭路一段159號
台灣彩券(運來之湧泉彩券行)	桃園市蘆竹區南崁路一段131號
台灣彩券(金滿載彩券行)	台北市中山區長安東路二段72號
台灣彩券(天保彩券行)	台北市中山區中原街79號
台灣彩券(金滿堂商行)	新北市汐止區龍安路28巷14號
台灣彩券(金吉利彩券行)	屏東縣枋山鄉德隆路82號
運動彩券(馬上贏彩券行)	台南市北區公園路822之5號
台灣彩券(富億公益彩券店)	台北市內湖區內湖路二段405號
台灣彩券(柏崴彩券行)	彰化縣員林鎮新義街193號
台灣彩券(金寶發彩券行)	台中市后里區三豐路38之8號
運動彩券(日新商行)	台中市西屯區西屯路二段295之1號
台灣彩券(買得旺彩券行)	台南市中西區西門路二段66號
台灣彩券(富麗發投注站)	台北市北投區實踐街76號
台灣彩券(宜益彩券行)	台中市北屯區中清路2之50號
競丰金運動彩券行	桃園市蘆竹區南崁路115號
台灣彩券(詳旺彩券投注店)	新北市三重區車路頭街116號
運動彩券(金牌彩券行)	台南市佳里區忠孝路207號
台灣彩券(金多利商行)	桃園市大園區國際路一段234號
台灣彩券(正發彩券行)	台中市大甲區中山路一段793號
台灣彩券(包中獎彩券行)	新北市中和區中山路三段4號
運動彩券(一路發商行)	台南市西港區中山路313號
台灣彩券(中尚多彩券行)	新北市板橋區長安街236號
台灣彩券(償鑫投注站)	台北市中山區四平街64號
台灣彩券(順利投注站)	台北市文山區木柵路二段129號
台灣彩券(全勝行)	桃園市桃園區民生路237號
運動彩券(就是你會中運動彩券行)	花蓮縣玉里鎮和平路68號
台灣彩券(金彩寶彩券行)	基隆市安樂區基金一路116之4號
台灣彩券(乙卯商行)	台中市豐原區圓環東路185號
台灣彩券(旺盛彩券行)	基隆市安樂區基金一路135巷46號
台灣彩券(輝發金彩券行)	新北市板橋區吳鳳路50巷71弄1號
台灣彩券(國順彩券行)	台北市松山區八德路二段406號
台灣彩券(財旺投注站)	花蓮縣花蓮市福建街114號
台灣彩券(鍑通彩券行)	高雄市新興區八德一路218號
台灣彩券(統強彩券行)	台中市霧峰區樹仁路11號
台灣彩券(明錩商號)	高雄市大樹區久堂路88號
台灣彩券(福德興彩券行)	屏東縣東港鎮中正路二段62號
台灣彩券(大豐彩券行)	新北市三峽區中山路243號
台灣彩券(興安商行)	台北市中山區興安街105號
台灣彩券(萊得富彩券行)	桃園市中壢區健行路53號
台灣彩券(東邦彩券行)	新北市新莊區龍安路272號
台灣彩券(顯祥商行)	新北市永和區中和路449號
台灣彩券(山川投注行)	台北市內湖區港墘路59號
台灣彩券(銢牆商行)	新竹縣芎林鄉文山路525號
台灣彩券(柏銓工作室)	新北市鶯歌區文化路140號
運動彩券(過關彩券行)	台中市太平區中山路一段378號
運動彩券(鈞得彩券行)	台中市南屯區文心路一段75號
樂客多運彩彩券行	台北市大同區民生西路90號
台灣彩券(鴻大電腦彩券行)	台南市安平區文平路367號
台灣彩券(你發財彩券行)	屏東縣東港鎮中山路92號
台灣彩券(阿妹商行)	新北市五股區民義路一段151號
台灣彩券(品國彩券行)	桃園市八德區永豐路366號
台灣彩券(紅鑫來彩券資訊社)	屏東縣高樹鄉南興路49之13號
台灣彩券(鑫高商行)	高雄市鹽埕區七賢三路254號
台灣彩券(億客來彩券行)	台南市東區崇學路54號
台灣彩券(金長利投注店)	新北市樹林區三福街9號
台灣彩券(全財商行)	台北市士林區大南路293號
台灣彩券(錢來也投注站)	桃園市桃園區復興路63號
運動彩券(世寶彩券行)	苗栗縣苗栗市中山路143號
台灣彩券(大潤發彩券行)	台北市信義區松隆路322號
運動彩券(欣像投注行)	新北市蘆洲區民族路95號
運動彩券(旺旺彩券行)	台中市豐原區成功路201號
台灣彩券(欣聖企業社)	桃園市龍潭區民族路178號
台灣彩券(上發商行)	台北市士林區士東路39號
運動彩券(大發彩券行)	台南市安南區海佃路一段91號
台灣彩券(璟旺彩券行)	桃園市龜山區萬壽路二段672號
台灣彩券(運如企業社)	桃園市觀音區中正路255號
台灣彩券(財福投注站)	高雄市苓雅區正義路180號
台灣彩券(全鑫企業社)	台南市後壁區後壁里59號
台灣彩券(力達商行)	台北市松山區八德路三段147之1號
台灣彩券(金牌彩券行)	高雄市鳳山區瑞智街51號
台灣彩券(富有彩券行)	高雄市鼓山區華榮路579號
台灣彩券(昇高商行)	彰化縣芬園鄉彰南路四段62號
台灣彩券(會津商行)	台北市中山區八德路二段278號
台灣彩券(榮勝商行)	新竹市北區民富街146號
台灣彩券(明發彩券行)	苗栗縣苑裡鎮天下路99號
台灣彩券(中頭獎彩券行)	台北市中正區南昌路一段73號
台灣彩券(億如彩券行)	新北市深坑區北深路一段126號
台灣彩券(好彩頭彩券行)	台北市大安區建國南路二段1號
台灣彩券(金財旺彩券行)	台中市北區英才路166號
運動彩券(真會中彩券行)	台北市松山區興安街182號
金銀帝國運動彩券行	新北市板橋區中山路二段359號
台灣彩券(永益彩券行)	高雄市岡山區岡燕路371號
台灣彩券(億而富彩券行)	台南市北區大武街149號
台灣彩券(開頭獎投注站)	彰化縣員林鎮員大路一段14號
台灣彩券(陳星商行)	桃園市中壢區龍岡路三段239號
台灣彩券(千佰利投注站)	台北市信義區虎林街143號
台灣彩券(見發彩券行)	台中市大甲區黎明路3之4號
台灣彩券(仟佰億彩券行)	南投縣埔里鎮中正路514號
台灣彩券(學明眼鏡鐘錶行)	台北市內湖區文德路22巷27弄12號
台灣彩券(一六八八彩券行)	高雄市鳳山區中山東路265號
運動彩券(大聯盟運動彩券行)	高雄市鳳山區自強二路246號
運動彩券(一定贏彩券行)	台中市南區建成路1538號
台灣彩券(順鴻投注站)	花蓮縣花蓮市中美路71之14號
台灣彩券(財金多彩券行)	新北市泰山區泰林路二段123號
台灣彩券(福德炸雞店)	雲林縣斗六市中華路36號
台灣彩券(樂善彩券行)	桃園市龜山區文明路35號
運動彩券(吉祥彩券商行)	彰化縣彰化市南郭路一段159號
台灣彩券(運來之湧泉彩券行)	桃園市蘆竹區南崁路一段131號
台灣彩券(金滿載彩券行)	台北市中山區長安東路二段72號
台灣彩券(天保彩券行)	台北市中山區中原街79號
台灣彩券(金滿堂商行)	新北市汐止區龍安路28巷14號
台灣彩券(秀霞彩券行)	新北市樹林區保安二街46號
台灣彩券(第一名商行)	台南市永康區大灣路702號
